Function Name,Self (ms),Duration (ms),Location
relations,2.312,32.939,../core/src/schema.ts:350:33
extend,2.309,9.223,../core/src/schema.ts:223:13
one,2.294,2.294,../core/src/schema.ts:127:7
select,2.288,2.288,../core/src/user-server-settings.ts:116:19
sort,2.254,5.422,src/router/auth.ts:63:38
createContextInner,2.251,675.801,src/router/context.ts:52:14
get,2.250,651.874,../core/src/auth.ts:712:27
extend,2.232,8.785,../core/src/schema.ts:388:13
createEnv,2.132,4.115,../env/src/shared.ts:87:37
pick,2.120,2.120,../core/src/zodSchemas/channelSchemas.ts:136:30
relations,2.113,21.073,../core/src/schema.ts:306:32
decode,2.112,5.412,../core/src/db.ts:23:15
map,2.098,2.098,../core/src/channel.ts:200:29
enum,2.091,2.091,src/router/user-server-settings.ts:160:12
Identifier: SetConstructor,2.088,2.088,../core/src/zodSchemas/channelSchemas.ts:7:36
flatMap,1.999,2.889,../core/src/search.ts:371:15
object,1.958,170.613,src/router/user-server-settings.ts:126:13
router,1.956,26.552,src/router/discord-accounts.ts:29:26
input,1.948,1.948,src/router/dashboard.ts:35:23
decode,1.942,2.641,../core/src/db.ts:30:21
deepPartial,1.930,9.546,../core/src/zodSchemas/channelSchemas.ts:59:13
inArray,1.927,2.649,../core/src/server.ts:128:11
findMany,1.922,28.108,../core/src/message.ts:278:8
object,1.906,8.840,../core/src/auth.ts:600:40
relations,1.879,9.357,../core/src/schema.ts:534:32
findMany,1.872,1.872,../core/src/channel.ts:384:8
map,1.831,1.831,../core/src/search.ts:430:33
protectedMutationFetchFirst,1.823,13.946,src/router/user-server-settings.ts:101:10
findMany,1.757,1.757,../core/src/pages.ts:274:9
context,1.729,677.531,src/router/trpc.ts:11:10
protectedMutation,1.729,3.417,src/router/user-server-settings.ts:182:24
all,1.701,1.701,../core/src/discord-account.ts:119:7
upsertUserServerSettingsWithDeps,1.643,1.643,src/router/user-server-settings.ts:207:23
string,1.629,1.629,../env/src/shared.ts:34:43
Identifier: { _config: RootConfig<{ c,1.626,679.765,src/router/trpc.ts:96:22
Identifier: RegExpConstructor,1.624,1.624,src/router/server.ts:36:32
anonymizeDiscordAccount,1.594,6.181,../core/src/message.ts:125:11
fetch,1.566,1.566,src/router/vercel-domains.ts:34:9
map,1.545,9.278,../core/src/message.ts:138:10
findFirst,1.519,5.965,../core/src/server.ts:124:21
primaryKey,1.512,1.610,../core/src/schema.ts:49:23
all,1.485,1.485,../core/src/channel.ts:294:7
createEnv,1.476,1.983,../env/src/shared.ts:88:9
pick,1.473,158.252,src/router/user-server-settings.ts:128:10
Identifier: CreateContextOptions,1.449,657.869,src/router/context.ts:31:18
relations,1.432,3.781,../core/src/schema.ts:234:16
string,1.405,11.727,../env/src/shared.ts:59:23
getPosthogQueryClientForDashboard,1.404,57.965,../core/src/analytics.ts:136:9
router,1.379,69.821,src/router/messages.ts:13:30
relations,1.329,5.409,../core/src/schema.ts:232:43
router,1.322,93.323,src/router/server.ts:72:36
filter,1.317,2.303,src/router/messages.ts:61:10
toZObject,1.307,1.307,../core/src/zodSchemas/serverSchemas.ts:19:36
createContextInner,1.298,15.496,src/router/context.ts:52:34
merge,1.280,1.280,../core/src/zodSchemas/userServerSettingsSchemas.ts:46:41
then,1.276,1.276,../core/src/auth.ts:211:12
