Function Name,Total Self (ms),Avg Self (ms),Call Count,Top Location,Top Self (ms)
StringLiteral: (string | (string | null),34.281,34.281,1,../../../node_modules/tzdata/timezone-data.json:1:87964,34.281
Boolean,33.456,1.859,18,../../../packages/platform/atoms/cal-provider/BaseCalProvider.tsx:141:49,7.444
trim,33.380,3.035,11,../../../packages/features/form-builder/FormBuilderField.tsx:86:15,16.421
toUpperCase,31.719,3.524,9,../../../packages/features/eventtypes/components/tabs/apps/EventAppsTab.tsx:91:7,21.741
toISOString,30.800,3.080,10,../../../packages/features/insights/server/events.ts:469:34,9.208
useUtils,30.409,2.172,14,../../../packages/platform/atoms/event-types/wrappers/EventTypeWebWrapper.tsx:97:21,14.001
calculateHostsAndAvailabilities,30.036,3.755,8,../../../packages/trpc/server/routers/viewer/slots/util.ts:393:55,21.146
enrichUserWithItsProfile,29.925,1.575,19,../../../packages/features/eventtypes/lib/getPublicEvent.ts:394:32,7.469
replace,28.867,1.203,24,../../../packages/ui/components/form/timezone-select/TimezoneSelect.tsx:103:16,8.859
watch,27.562,2.756,10,../../../packages/features/eventtypes/components/EventTypeLayout.tsx:249:17,7.787
getBookingData,27.047,3.381,8,../../../packages/features/bookings/lib/handleNewBooking.ts:375:28,23.442
useWatch,26.473,5.295,5,../../../packages/platform/atoms/availability/AvailabilitySettings.tsx:168:22,16.520
findByUpId,25.960,4.327,6,../../../packages/lib/event-types/getEventTypesByViewer.ts:39:37,10.926
Identifier: { metadata: { smartContra,25.853,5.171,5,../../../packages/core/getUserAvailability.ts:343:6,15.845
getTranslation,25.814,0.993,26,../../../packages/platform/atoms/cal-provider/BaseCalProvider.tsx:98:74,21.230
dynamic,25.642,2.564,10,../../../packages/features/shell/SideBar.tsx:22:13,11.396
refine,24.847,1.775,14,../../../node_modules/@calcom/trpc/server/routers/viewer/eventTypes/types.ts:79:21,9.868
count,23.985,1.499,16,../../../packages/trpc/server/routers/viewer/availability/team/listTeamAvailability.handler.ts:217:31,10.297
querySelector,23.904,3.984,6,../../../packages/embeds/embed-core/embed-iframe-init.ts:61:28,22.613
init,23.735,1.249,19,../../../packages/lib/server/i18n.ts:8:44,7.166
editLocation,23.265,23.265,1,../../../packages/trpc/server/routers/viewer/bookings/_router.tsx:74:11,23.265
request,23.037,0.274,84,src/modules/conferencing/controllers/conferencing.controller.e2e-spec.ts:71:13,5.170
$extends,23.030,1.645,14,../../../packages/prisma/index.ts:44:70,6.791
