Function Name,Self (ms),Duration (ms),Location
literal,5.712,5.712,../../packages/db/src/schema/formFields/validation.ts:47:15
use,5.709,5.709,../../packages/api/src/procedures/authProtectedProcedure.ts:14:59
object,5.654,5.654,src/app/api/form/[formId]/conversation/route.ts:20:21
query,5.604,6.140,../../packages/api/src/router/metrics.ts:16:12
pick,5.564,5.564,../../packages/ai/src/systemPrompt.ts:20:34
Identifier: ForwardRefExoticComponent,5.490,5.490,src/app/(formSubmissionPage)/view/[formId]/_components/formNotPublishedScreen.tsx:13:9
relations,5.440,62.197,../../packages/db/src/schema/formFields/formField.ts:24:34
input,5.418,5.418,../../packages/api/src/router/formField.ts:16:19
map,5.416,5.416,src/app/(protectedPage)/(mainPage)/workspaces/[workspaceId]/_component/generateFormModal.tsx:223:23
forwardRef,5.394,5.991,../../packages/ui/src/components/ui/dialog.tsx:84:20
preventDefault,5.378,5.378,src/app/(protectedPage)/(mainPage)/workspaces/[workspaceId]/_component/pageHeader.tsx:122:11
forwardRef,5.303,5.303,../../packages/ui/src/components/ui/dialog.tsx:38:29
pgTable,5.297,56.157,../../packages/db/src/schema/formFields/formField.ts:8:46
object,5.264,5.264,../../packages/db/src/schema/formFields/validation.ts:19:47
array,5.245,5.245,../../packages/api/src/router/conversation.ts:269:17
map,5.240,5.240,src/app/(protectedPage)/forms/[formId]/conversations/_components/transcriptCard.tsx:15:11
zodResolver,5.224,5.224,src/app/(protectedPage)/forms/[formId]/_components/formEditor/fieldsEditorCard/editFieldItem.tsx:68:14
animate,5.218,5.218,src/components/formViewer/welcomeScreen.tsx:41:28
context,5.205,5.205,../../packages/api/src/trpc.ts:40:17
forwardRef,5.189,6.029,../../packages/ui/src/components/ui/scroll-area.tsx:26:18
Identifier: any,5.156,5.156,src/mdx-components.tsx:7:13
"Identifier: ({ title, description, co",5.151,5.151,src/app/global-error.tsx:15:7
findMany,5.146,5.383,../../packages/api/src/router/metrics.ts:30:26
toString,5.030,5.030,src/components/conversationsStats.tsx:24:19
forwardRef,5.027,5.027,../../packages/ui/src/components/ui/card.tsx:5:6
forwardRef,4.966,6.682,../../packages/ui/src/components/ui/avatar.tsx:11:38
query,4.960,15.114,../../packages/api/src/router/metrics.ts:74:13
Identifier: ZodObject<{ backgroundCol,4.930,12.750,src/app/(protectedPage)/forms/[formId]/_components/formDesignEditor/basicDesignCard.tsx:42:42
forwardRef,4.925,5.056,../../packages/ui/src/components/ui/dropdown-menu.tsx:109:7
input,4.909,14.213,../../packages/api/src/router/formDesign.ts:53:10
forwardRef,4.890,4.890,../../packages/ui/src/components/ui/dropdown-menu.tsx:95:33
input,4.884,4.884,../../packages/api/src/router/organization.ts:9:10
forwardRef,4.881,4.881,../../packages/ui/src/components/ui/popover.tsx:12:23
extend,4.847,9.468,../../packages/db/src/schema/formFields/validation.ts:64:13
