Function Name,Total Self (ms),Avg Self (ms),Call Count,Top Location,Top Self (ms)
round,2.146,2.146,1,src/app/dashboard/[serverId]/components/home.tsx:29:7,2.146
findIndex,2.120,2.120,1,src/app/dashboard/[serverId]/channels/page.tsx:364:10,2.120
Identifier: (props: { ctaLink: string,2.084,2.084,1,../../packages/ui/src/pricing.tsx:442:6,2.084
includes,2.009,0.670,3,../../packages/ui/src/utils/trpc.tsx:30:7,1.075
Identifier: ReactNode,1.985,1.985,1,src/app/dashboard/[serverId]/channels/page.tsx:181:5,1.985
useState,1.979,1.979,1,../../packages/ui/src/layouts/trpc-provider.tsx:22:7,1.979
Identifier: { defaultChecked?: boolea,1.957,1.957,1,../../packages/ui/src/ui/heading.tsx:9:7,1.957
keys,1.940,0.485,4,../../packages/api/src/router/dashboard.ts:88:36,1.544
Identifier: DomainResponse & { error:,1.918,1.918,1,src/app/dashboard/[serverId]/components/domain.tsx:161:22,1.918
Identifier: { _config: RootConfig<{ c,1.797,0.898,2,../../packages/api/src/router/trpc.ts:96:22,1.699
anonymizeDiscordAccount,1.670,1.670,1,../../packages/core/src/message.ts:125:11,1.670
mutateUserServerSettings,1.667,0.556,3,../../packages/api/src/router/user-server-settings.ts:141:10,1.193
error,1.616,0.539,3,../../packages/core/src/search.ts:377:23,1.410
Identifier: ButtonProps & { tenant: {,1.578,1.578,1,../../packages/ui/src/navbar/sign-in-button.tsx:13:7,1.578
middleware,1.548,0.387,4,../../packages/api/src/router/trpc.ts:66:23,0.525
flatMap,1.517,0.506,3,../../packages/core/src/pages.ts:87:13,1.290
setToFrom,1.453,1.453,1,src/app/dashboard/[serverId]/layout.tsx:71:21,1.453
Identifier: Response<Subscription>,1.397,0.698,2,../../packages/core/src/stripe.ts:19:9,0.801
Identifier: CreateContextOptions,1.361,1.361,1,../../packages/api/src/router/context.ts:31:18,1.361
log,1.353,0.676,2,../../packages/core/src/auth.ts:217:5,1.147
"Identifier: ""popper""",1.300,1.300,1,../../packages/ui/src/ui/date-picker.tsx:53:18,1.300
Identifier: Session,1.291,0.646,2,../../packages/core/src/auth.ts:518:9,1.128
delete,1.277,0.142,9,../../packages/core/src/discord-account.ts:118:8,0.452
init,1.266,1.266,1,../../packages/ui/src/hooks/client.tsx:8:37,1.266
push,1.250,0.312,4,../../packages/core/src/search.ts:322:20,0.761
findServerByAliasOrId,1.234,1.234,1,../../packages/core/src/server.ts:29:8,1.234
notNull,1.222,0.306,4,../../packages/core/src/schema.ts:38:13,0.467
resolve,1.215,0.608,2,../../packages/core/src/channel.ts:184:30,1.158
"Identifier: ({ children, href, varian",1.202,1.202,1,../../packages/ui/src/pricing.tsx:180:5,1.202
"Identifier: ({ className, children, }",1.166,1.166,1,src/app/dashboard/[serverId]/components/domain.tsx:210:26,1.166
"Identifier: (props: { authState: ""loa",1.127,1.127,1,src/app/onboarding/OnboardingPages.tsx:129:10,1.127
Identifier: { H1: (props: HeadingProp,1.096,1.096,1,src/app/onboarding/OnboardingPages.tsx:97:5,1.096
Identifier: number | null,1.095,0.548,2,src/app/dashboard/[serverId]/settings/components.tsx:39:18,0.932
findServerById,0.929,0.310,3,../../packages/core/src/server.ts:93:19,0.584
create,0.922,0.922,1,../../packages/api/src/bot/index.ts:13:6,0.922
now,0.872,0.174,5,../../packages/core/src/auth.ts:533:9,0.527
OpenBracketToken: any,0.870,0.870,1,../../packages/core/src/utils/operations.ts:65:19,0.870
