Function Name,Self (ms),Duration (ms),Location
Identifier: ForwardRefExoticComponent,8.342,8.342,src/app/dashboard/[serverId]/components/domain.tsx:294:6
useQuery,8.245,9.123,src/app/dashboard/[serverId]/components/navbar.tsx:37:7
Identifier: any,8.097,8.097,../../packages/ui/src/footer.tsx:78:27
createInsertSchema,8.064,8.064,../../packages/core/src/schema.ts:521:29
forwardRef,7.990,7.990,../../packages/ui/src/ui/switch.tsx:19:3
"Identifier: ""single""",7.977,7.977,../../packages/ui/src/pricing.tsx:113:12
pick,7.964,7.964,../../packages/core/src/zodSchemas/serverSchemas.ts:32:31
object,7.875,7.875,../../packages/core/src/zodSchemas/channelSchemas.ts:77:5
object,7.838,41.046,../../packages/core/src/zodSchemas/serverSchemas.ts:37:29
findMany,7.832,7.832,../../packages/core/src/pages.ts:255:70
getInitials,7.781,7.781,../../packages/ui/src/navbar/user-dropdown.tsx:78:5
Identifier: ForwardRefExoticComponent,7.773,7.773,src/app/dashboard/[serverId]/layout.tsx:37:9
forwardRef,7.714,7.714,../../packages/ui/src/ui/dropdown-menu.tsx:140:26
twMerge,7.668,9.608,../../packages/ui/src/ui/heading.tsx:43:10
forwardRef,7.598,7.598,../../packages/ui/src/ui/select.tsx:17:48
many,7.554,7.554,../../packages/core/src/schema.ts:59:11
createEnv,7.513,17.710,../../packages/env/src/shared.ts:88:9
createUserServerSettings,7.470,7.470,../../packages/core/src/user-server-settings.ts:244:36
toLocaleString,7.465,7.465,src/app/dashboard/[serverId]/components/home.tsx:126:13
cn,7.463,11.320,../../packages/ui/src/ui/link.tsx:12:11
forwardRef,7.334,7.334,../../packages/ui/src/ui/popover.tsx:16:3
Identifier: Config,7.306,10.252,tailwind.config.cjs:11:8
Identifier: any,7.300,7.300,src/app/dashboard/[serverId]/components/tier-access-only.tsx:40:6
forwardRef,7.186,7.186,../../packages/ui/src/ui/select.tsx:113:19
toString,7.159,38.970,../../packages/core/src/analytics.ts:15:32
applyServerSettingsSideEffects,7.158,7.696,../../packages/core/src/server.ts:97:34
mysqlTable,7.094,11.471,../../packages/core/src/schema.ts:477:26
protectedFetchWithPublicData,7.084,10.115,../../packages/api/src/router/discord-accounts.ts:33:10
zStringDefaultInDev,7.050,10.057,../../packages/env/src/shared.ts:93:15
forwardRef,7.048,7.048,../../packages/ui/src/ui/command.tsx:61:38
applyChannelSettingsChangesSideEffects,6.997,6.997,../../packages/core/src/channel.ts:251:22
discordIconStyles,6.953,13.396,../../packages/ui/src/icons/index.tsx:30:10
Identifier: any,6.932,6.932,src/app/dashboard/[serverId]/components/domain.tsx:184:7
forwardRef,6.901,6.901,../../packages/ui/src/ui/dropdown-menu.tsx:158:30
varchar,6.899,6.899,../../packages/core/src/schema.ts:42:8
Identifier: any,6.834,6.834,../../packages/ui/src/layouts/root.tsx:57:4
number,6.833,6.833,../../packages/core/src/zodSchemas/channelSchemas.ts:51:7
router,6.794,131.253,../../packages/api/src/router/dashboard.ts:22:39
mysqlTable,6.758,7.206,../../packages/core/src/schema.ts:263:11
twMerge,6.735,8.920,../../packages/ui/src/ui/heading.tsx:59:10
forwardRef,6.708,6.708,../../packages/ui/src/ui/sheet.tsx:69:5
use,6.673,33.564,../../packages/api/src/router/trpc.ts:101:40
map,6.670,7.488,../../packages/ui/src/pricing.tsx:141:10
Identifier: ComponentType<{ user: { i,6.663,6.663,../../packages/ui/src/navbar/client.tsx:26:8
Identifier: CreateTRPCReactBase<Creat,6.662,6.662,../../packages/ui/src/layouts/trpc-provider.tsx:51:10
Identifier: any,6.646,6.646,../../packages/ui/src/layouts/root.tsx:58:5
forwardRef,6.633,6.633,../../packages/ui/src/ui/avatar.tsx:39:23
forwardRef,6.622,6.622,../../packages/ui/src/ui/select.tsx:51:31
extend,6.621,174.583,../../packages/core/src/schema.ts:197:13
forwardRef,6.620,6.620,../../packages/ui/src/ui/sheet.tsx:119:38
updateServer,6.586,6.586,../../packages/api/src/router/server.ts:111:12
forwardRef,6.558,6.558,../../packages/ui/src/ui/sheet.tsx:107:3
useEffect,6.489,6.489,../../packages/ui/src/hooks/client.tsx:26:13
forwardRef,6.444,7.177,../../packages/ui/src/ui/command.tsx:84:21
discordIconStyles,6.443,6.443,../../packages/ui/src/icons/index.tsx:31:7
enum,6.440,6.440,../../packages/env/src/shared-schema.mjs:97:56
useQuery,6.439,13.600,src/app/dashboard/[serverId]/components/home.tsx:58:8
object,6.438,6.438,src/pages/api/v1/stripe/webhook.ts:31:10
forwardRef,6.408,6.408,../../packages/ui/src/ui/select.tsx:125:3
router,6.311,37.038,../../packages/api/src/router/discord-accounts.ts:29:34
Identifier: { tenant: { description: ,6.302,6.302,../../packages/ui/src/footer.tsx:170:10
toLocaleDateString,6.285,6.285,src/app/dashboard/[serverId]/settings/components.tsx:84:12
from,6.189,6.189,../../packages/core/src/discord-account.ts:95:20
relations,6.163,16.278,../../packages/core/src/schema.ts:96:69
createEnv,6.159,23.869,../../packages/env/src/shared.ts:87:37
applyPublicFlagsToMessages,6.036,6.036,../../packages/core/src/message.ts:244:20
map,6.017,6.961,../../packages/core/src/message.ts:610:12
mysqlTable,6.013,13.219,../../packages/core/src/schema.ts:262:25
Identifier: ForwardRefExoticComponent,6.012,6.012,../../packages/ui/src/server-icon.tsx:31:4
forwardRef,6.006,6.006,../../packages/ui/src/ui/command.tsx:87:38
forwardRef,5.977,5.977,../../packages/ui/src/ui/command.tsx:103:38
toLocaleString,5.963,7.073,src/app/dashboard/[serverId]/components/home.tsx:169:18
map,5.884,6.069,src/app/dashboard/[serverId]/components/home.tsx:234:18
forwardRef,5.879,5.879,../../packages/ui/src/ui/card.tsx:34:38
map,5.856,6.342,../../packages/core/src/discord-account.ts:70:37
map,5.841,9.576,../../packages/api/src/router/dashboard.ts:72:12
Identifier: any,5.828,5.828,../../packages/ui/src/icons/index.tsx:38:4
decode,5.776,5.922,../../packages/core/src/db.ts:26:7
Identifier: any,5.707,5.707,src/app/dashboard/[serverId]/components/loading-spinner.tsx:4:10
applyPublicFlagsToMessages,5.700,5.700,../../packages/core/src/pages.ts:350:26
filter,5.697,5.697,../../packages/core/src/discord-account.ts:53:46
many,5.660,13.095,../../packages/core/src/schema.ts:308:11
mysqlTable,5.642,43.190,../../packages/core/src/schema.ts:38:23
forwardRef,5.633,6.668,../../packages/ui/src/ui/table.tsx:31:38
map,5.584,5.584,../../packages/core/src/discord-account.ts:104:14
forwardRef,5.566,5.566,../../packages/ui/src/ui/separator.tsx:14:8
map,5.564,5.564,../../packages/ui/src/footer.tsx:97:31
toLocaleDateString,5.537,11.954,src/app/dashboard/[serverId]/settings/components.tsx:84:5
useQuery,5.510,7.044,src/app/dashboard/[serverId]/components/home.tsx:142:38
required,5.481,5.481,../../packages/core/src/zodSchemas/channelSchemas.ts:49:23
enum,5.458,5.458,../../packages/env/src/shared.ts:63:8
cn,5.449,5.449,../../packages/ui/src/ui/calendar.tsx:21:16
map,5.444,5.444,../../packages/ui/src/footer.tsx:140:6
object,5.443,5.443,../../packages/core/src/auth.ts:600:40
getData,5.440,8.356,src/app/dashboard/[serverId]/channels/page.tsx:221:23
Identifier: ForwardRefExoticComponent,5.436,5.436,src/app/dashboard/[serverId]/layout.tsx:113:8
Identifier: any,5.428,5.428,src/app/dashboard/[serverId]/integrations/page.tsx:24:4
preventDefault,5.415,10.669,src/app/dashboard/[serverId]/components/home.tsx:333:17
relations,5.406,31.854,../../packages/core/src/schema.ts:350:76
all,5.388,5.388,../../packages/api/src/utils/protected-procedures.ts:135:16
then,5.353,5.353,../../packages/core/src/message.ts:353:9
Identifier: any,5.352,5.352,src/app/dashboard/[serverId]/components/domain.tsx:38:10
inArray,5.230,5.463,../../packages/core/src/server.ts:128:11
map,5.208,5.208,src/app/dashboard/[serverId]/layout.tsx:91:8
omit,5.166,5.166,../../packages/core/src/zodSchemas/channelSchemas.ts:59:31
useQuery,5.166,6.382,src/app/dashboard/[serverId]/layout.tsx:56:7
toLocaleString,5.153,5.163,src/app/dashboard/[serverId]/components/home.tsx:123:11
DiscordProvider,5.101,5.101,../../packages/core/src/auth.ts:401:15
forwardRef,5.090,5.090,../../packages/ui/src/ui/command.tsx:13:38
Identifier: CustomMappingProperty<{ t,5.034,5.034,../../packages/core/src/search.ts:92:6
forwardRef,5.031,5.031,../../packages/ui/src/ui/select.tsx:131:3
forwardRef,5.002,5.139,../../packages/ui/src/ui/dropdown-menu.tsx:108:4
Identifier: any,4.965,4.965,../../packages/ui/src/server-card.tsx:49:10
findFirst,4.950,7.405,../../packages/core/src/message.ts:188:9
Identifier: typeof Elastic,4.913,6.693,../../packages/core/src/search.ts:239:9
Identifier: CustomMappingProperty<{ n,4.900,4.900,../../packages/core/src/search.ts:51:6
"Identifier: Omit<T, ""flags"">",4.898,4.898,../../packages/core/src/server.ts:27:7
forwardRef,4.896,4.896,../../packages/ui/src/ui/button.tsx:44:65
onValueChange,4.879,6.750,../../packages/ui/src/ui/date-picker.tsx:54:5
useQuery,4.859,6.191,src/app/dashboard/[serverId]/components/home.tsx:58:8
forwardRef,4.809,4.809,../../packages/ui/src/ui/select.tsx:101:20
Identifier: any,4.784,4.784,src/app/dashboard/[serverId]/components/home.tsx:82:10
Identifier: any,4.784,4.784,../../packages/ui/src/pricing.tsx:313:10
pick,4.673,4.673,../../packages/core/src/zodSchemas/discordAccountSchemas.ts:6:13
