Function Name,Total Self (ms),Avg Self (ms),Call Count,Top Location,Top Self (ms)
OpenBracketToken: any,8.738,0.971,9,../../packages/embeds/embed-core/src/utils.ts:24:13,4.880
Identifier: { calendar: string; event,8.685,8.685,1,../../packages/emails/src/templates/BrokenIntegrationEmail.tsx:44:32,8.685
Identifier: <TFieldValues extends Fie,8.674,8.674,1,../../packages/features/timezone-buddy/components/AvailabilityEditSheet.tsx:216:17,8.674
rescheduleSeatedBooking,8.645,2.161,4,../../packages/features/bookings/lib/handleSeats/handleSeats.ts:95:52,6.535
switchOnClick,8.641,8.641,1,../../packages/app-store/_components/AppCard.tsx:83:11,8.641
Identifier: ForwardRefExoticComponent,8.614,8.614,1,../../packages/features/insights/components/LineChart.tsx:7:9,8.614
"Identifier: ""h3""",8.576,4.288,2,../../packages/platform/atoms/availability/AvailabilitySettings.tsx:512:38,4.456
Identifier: { title: string; subtitle,8.502,1.700,5,modules/getting-started/[[...step]]/onboarding-view.tsx:183:20,5.870
findAllByUpId,8.453,8.453,1,../../packages/lib/event-types/getEventTypesByViewer.ts:65:8,8.453
getWorkflowReminders,8.446,4.223,2,../../packages/features/ee/workflows/lib/getWorkflowReminders.ts:208:31,8.363
"Identifier: { propsType: ""objectiveWi",8.442,8.442,1,../../packages/features/form-builder/FormBuilderField.tsx:349:9,8.442
Identifier: { name: string | null; em,8.419,4.209,2,../../packages/trpc/server/routers/loggedInViewer/updateProfile.handler.ts:372:15,8.171
Identifier: { length: number; team: {,8.418,8.418,1,../../packages/features/eventtypes/lib/getPublicEvent.ts:395:8,8.418
Identifier: IsMulti,8.375,4.187,2,../../packages/ui/components/form/select/components.tsx:57:32,8.329
refetch,8.374,4.187,2,../../packages/features/users/components/UserTable/UserListTable.tsx:494:25,4.757
findUsersByUsername,8.370,4.185,2,../../packages/features/eventtypes/lib/getPublicEvent.ts:215:30,7.873
getSeatedBooking,8.257,8.257,1,../../packages/features/bookings/lib/handleNewBooking.ts:544:22,8.257
sobject,8.242,2.061,4,../../packages/app-store/salesforce/lib/CrmService.ts:170:17,6.867
listWithTeam,8.234,4.117,2,../../packages/trpc/server/routers/viewer/eventTypes/_router.ts:162:11,7.803
handleAppInstall,8.234,1.647,5,../../packages/ui/components/apps/AppCard.tsx:162:25,5.135
getAvailableSlots,8.196,1.024,8,pages/api/get-inbound-dynamic-variables.ts:95:21,5.552
Identifier: ForwardRefExoticComponent,8.181,8.181,1,../../packages/ui/components/filter-select/index.tsx:64:11,8.181
"Identifier: ({ members, teamName }: {",8.040,8.040,1,components/team/screens/Team.tsx:73:11,8.040
setField,7.989,7.989,1,../../packages/app-store/routing-forms/components/react-awesome-query-builder/widgets.tsx:347:11,7.989
Identifier: typeof Head,7.941,7.941,1,pages/_document.tsx:65:9,7.941
api,7.908,1.582,5,../../packages/lib/domainManager/deploymentServices/cloudflare.ts:42:21,3.749
getEnrichedSerializableForm,7.907,2.636,3,../../packages/trpc/server/routers/viewer/routing-forms/findTeamMembersMatchingAttributeLogicOfRoute.handler.ts:126:33,6.044
Identifier: { fields: RaqbConfigField,7.888,7.888,1,../../packages/lib/raqb/raqbUtils.ts:317:63,7.888
getMetadataHelpers,7.886,7.886,1,../../packages/trpc/server/routers/viewer/organizations/update.handler.ts:142:28,7.886
Identifier: { uid: string; title: str,7.884,7.884,1,modules/bookings/views/bookings-single-view.tsx:766:41,7.884
setAdditionalParameters,7.877,1.125,7,../../packages/app-store/qr_code/components/EventTypeAppSettingsInterface.tsx:35:7,3.780
Identifier: { team: { name: string; },7.872,2.624,3,../../packages/lib/server/repository/team.ts:273:11,7.323
Identifier: Date | undefined,7.870,1.967,4,../../packages/features/bookings/Booker/components/hooks/useBookings.ts:401:9,7.549
Identifier: { team: { name: string; m,7.861,7.861,1,../../packages/app-store/routing-forms/components/getServerSidePropsSingleForm.ts:98:33,7.861
Identifier: { Root: ForwardRefExoticC,7.855,2.618,3,../../packages/features/data-table/components/DataTableWrapper.tsx:95:54,7.709
Identifier: HandleSeatsResultBooking,7.832,3.916,2,../../packages/features/bookings/lib/handleSeats/handleSeats.ts:160:9,5.994
getTranslatedVariantsConfig,7.721,7.721,1,../../packages/features/form-builder/FormBuilderField.tsx:366:10,7.721
Identifier: true,7.717,1.286,6,../../packages/app-store/locations.ts:92:60,4.615
loggerLink,7.645,1.274,6,../../packages/trpc/react/trpc.ts:72:15,6.500
findAllProfilesForUserIncludingMovedUser,7.470,2.490,3,../../packages/trpc/server/routers/loggedInViewer/me.handler.ts:21:25,5.981
Identifier: { length: number; team: {,7.455,2.485,3,../../packages/features/ee/payments/pages/payment.tsx:52:17,5.478
_sendPayload,7.449,3.724,2,../../packages/features/webhooks/lib/sendPayload.ts:230:9,3.872
showToast,7.441,0.532,14,../../packages/lib/hooks/useNotifications.tsx:24:26,4.277
Identifier: GetCustomersResponseBody[,7.438,7.438,1,../../packages/features/auth/lib/dub.ts:17:9,7.438
Identifier: Table<PlatformManagedUser,7.433,7.433,1,../../packages/features/users/components/UserTable/PlatformManagedUsersTable.tsx:326:55,7.433
remove,7.427,7.427,1,../../packages/features/insights/components/CellWithOverflowX.tsx:10:11,7.427
reject,7.425,7.425,1,../../packages/app-store/webex/lib/VideoApiAdapter.ts:59:29,7.425
setOAuthClient,7.381,1.845,4,modules/settings/platform/managed-users/managed-users-view.tsx:82:7,6.624
buttonClasses,7.342,7.342,1,../../packages/features/eventtypes/components/EditWeightsForAllTeamMembers.tsx:319:17,7.342
getOriginalRescheduledBooking,7.284,2.428,3,../../packages/features/bookings/lib/handleNewBooking.ts:547:35,6.227
Identifier: ForwardRefExoticComponent,7.280,2.427,3,../../packages/features/ee/organizations/components/AboutOrganizationForm.tsx:52:33,6.768
Identifier: { uid: string; etag: stri,7.227,3.614,2,../../packages/lib/CalendarService.ts:686:13,3.991
"Identifier: UseFormReturn<FormValues,",7.213,0.212,34,../../packages/features/ee/workflows/components/WorkflowStepContainer.tsx:961:18,1.256
getAuthorizationHeader,7.187,1.797,4,../../packages/platform/atoms/cal-provider/BaseCalProvider.tsx:147:14,3.741
buildMember,7.129,7.129,1,../../packages/trpc/server/routers/viewer/availability/team/listTeamAvailability.handler.ts:252:52,7.129
createClient,7.099,7.099,1,app/_trpc/trpc-provider.tsx:49:28,7.099
setSearchText,7.098,7.098,1,modules/apps/apps-view.tsx:67:32,7.098
presenter,7.078,1.416,5,../../packages/app-store/routing-forms/trpc/report.handler.ts:107:20,6.008
day,7.058,1.176,6,../../packages/features/calendars/DatePicker.tsx:132:13,4.353
Identifier: CreatedBooking,7.000,1.400,5,../../packages/features/bookings/lib/handleNewBooking.ts:1843:10,4.808
Identifier: { ClearIndicator: <Option,6.975,3.487,2,../../packages/ui/components/form/select/components.tsx:69:7,5.372
bulkUpdateToDefaultAvailability,6.927,6.927,1,../../packages/trpc/server/routers/viewer/availability/schedule/_router.tsx:176:13,6.927
setDialogOpen,6.924,6.924,1,../../packages/features/eventtypes/components/tabs/advanced/DisableAllEmailsSetting.tsx:52:11,6.924
serverSideTranslations,6.923,2.308,3,lib/apps/installation/[[...step]]/getServerSideProps.ts:309:11,5.924
Identifier: { booking: { _count: { se,6.883,2.294,3,../../packages/trpc/server/routers/viewer/bookings/getBookingAttendees.handler.ts:32:9,5.991
Identifier: ForwardRefExoticComponent,6.843,3.422,2,../../packages/features/bookings/Booker/Booker.tsx:386:13,3.599
mutateAsync,6.831,0.621,11,../../packages/features/ee/teams/components/MemberInvitationModal.tsx:397:11,1.508
