Function Name,Self (ms),Duration (ms),Location
map,19.056,24.809,../../packages/lib/event-types/transformers/internal-to-api/booking-fields.ts:31:36
extend,18.997,32.215,../../packages/prisma/zod/instantmeetingtoken.ts:25:95
findFirstOrThrow,18.853,35.222,../../packages/app-store/wipemycalother/lib/reschedule.ts:22:19
extend,18.821,18.821,../../packages/prisma/zod/attributeoption.ts:24:87
update,18.696,18.696,../../packages/lib/server/queries/teams/index.ts:484:19
use,18.691,25.535,../../packages/trpc/server/routers/viewer/webhook/util.ts:13:8
processUserAttributes,18.634,18.634,../../packages/trpc/server/routers/viewer/attributes/bulkAssignAttributes.handler.ts:66:15
parse,18.603,19.968,../../packages/features/tasker/tasks/triggerNoShow/common.ts:143:36
map,18.588,18.588,../../packages/features/bookings/Booker/components/AvailableTimeSlots.tsx:130:7
createElement,18.579,18.579,../../packages/embeds/embed-core/src/embed.ts:60:27
useQuery,18.554,21.005,../../packages/features/embed/Embed.tsx:664:45
useMemo,18.438,90.328,../../packages/features/insights/hooks/useInsightsColumns.tsx:40:11
findUnique,18.423,18.423,lib/booking.ts:25:12
object,18.379,18.379,../../packages/app-store/feishucalendar/api/events.ts:18:8
extend,18.294,18.294,../../packages/prisma/zod/attribute.ts:30:75
debug,18.210,33.966,../../packages/features/ee/dsync/lib/handleGroupEvents.ts:19:26
clearErrors,18.177,18.177,../../packages/features/ee/organizations/pages/settings/other-team-profile-view.tsx:230:62
"Identifier: Partial<Record<""number"" |",18.131,18.131,../../packages/platform/atoms/cal-provider/BaseCalProvider.tsx:117:24
update,18.090,18.090,../../packages/features/bookings/lib/handleNewBooking/createBooking.ts:177:12
classNames,18.088,18.088,../../packages/ui/components/tooltip/Tooltip.tsx:28:20
anonymous,18.088,18.088,../../packages/prisma/selects/payment.ts:14:12
lazy,17.910,176.140,../../packages/prisma/zod/eventtype.ts:107:13
get,17.897,27.327,playwright/lib/testUtils.ts:215:21
toString,17.862,17.862,../../packages/features/bookings/Booker/components/EventMeta.tsx:145:11
digest,17.840,24.774,../../packages/trpc/server/routers/loggedInViewer/me.handler.ts:97:9
use,17.801,18.116,../../packages/trpc/server/routers/publicViewer/procedures/session.ts:9:23
merge,17.790,40.665,../../packages/features/bookings/lib/getBookingDataSchemaForApi.ts:19:9
extend,17.753,22.628,../../packages/prisma/zod/attendee.ts:26:73
map,17.708,17.708,../../packages/features/eventtypes/components/EventTypeDescription.tsx:65:68
update,17.676,17.676,../../packages/lib/server/repository/workspacePlatform.ts:88:13
Identifier: { identity_provider: stri,17.642,17.647,../../packages/platform/atoms/cal-provider/CalProvider.tsx:22:47
classNames,17.636,17.636,../../packages/features/bookings/components/event-meta/Title.tsx:14:11
trim,17.545,17.545,../../packages/features/form-builder/FormBuilderField.tsx:86:15
t,17.499,17.499,../../packages/features/ee/organizations/pages/settings/other-team-profile-view.tsx:216:62
update,17.493,96.494,../../packages/trpc/server/routers/loggedInViewer/unlinkConnectedAccount.handler.ts:29:16
forwardRef,17.335,17.472,../../packages/ui/components/popover/Popover.tsx:10:23
findFirst,17.320,22.096,../../packages/trpc/server/routers/viewer/organizations/adminVerify.handler.ts:16:34
findMany,17.310,45.761,../../packages/trpc/server/routers/loggedInViewer/outOfOffice.handler.ts:403:35
querySelector,17.273,17.273,../../packages/embeds/embed-core/embed-iframe-init.ts:61:28
update,17.243,17.243,../../packages/features/credentials/handleDeleteCredential.ts:370:14
map,17.206,17.206,../../packages/features/form-builder/Components.tsx:439:27
$transaction,17.181,46.545,../../packages/features/ee/teams/lib/removeMember.ts:11:21
$transaction,17.152,17.152,../../packages/features/ee/teams/lib/removeMember.ts:20:29
all,17.043,42.190,../../packages/lib/server/repository/eventTypeTranslation.ts:20:17
all,17.006,17.006,../../packages/features/bookings/lib/handleConfirmation.ts:253:40
all,16.961,21.611,../../packages/trpc/server/routers/viewer/workflows/update.handler.ts:460:31
filter,16.952,45.851,../../packages/trpc/server/routers/viewer/eventTypes/getTeamAndEventTypeOptions.handler.ts:204:13
extend,16.913,16.913,../../packages/prisma/zod/webhookscheduledtriggers.ts:28:105
setValue,16.855,16.855,../../packages/features/ee/teams/components/TeamEventTypeForm.tsx:121:54
string,16.836,16.836,app/api/avatar/[uuid]/route.ts:11:8
update,16.736,16.736,../../packages/trpc/server/routers/viewer/teams/update.handler.ts:100:11
format,16.701,16.701,../../packages/features/calendars/weeklyview/components/event/Event.tsx:70:7
extend,16.615,16.615,../../packages/prisma/zod/feature.ts:28:71
forwardRef,16.595,16.595,../../packages/platform/atoms/src/components/ui/toast.tsx:11:22
extend,16.563,16.563,../../packages/prisma/zod/workflowreminder.ts:30:89
all,16.546,23.046,../../packages/trpc/server/routers/loggedInViewer/routingFormOrder.handler.ts:60:8
"Identifier: ""button"" | ""a""",16.538,16.538,../../packages/ui/components/dropdown/Dropdown.tsx:148:18
register,16.472,16.472,../../packages/features/eventtypes/components/tabs/advanced/EventAdvancedTab.tsx:684:15
classNames,16.440,16.440,../../packages/features/bookings/components/event-meta/AvailableEventLocations.tsx:24:11
getTotalSize,16.398,16.398,../../packages/features/data-table/components/DataTable.tsx:108:11
expect,16.179,16.179,test/lib/checkBookingLimits.test.ts:66:51
find,16.179,19.273,../../packages/app-store/salesforce/components/EventTypeAppCardInterface.tsx:21:52
Identifier: any,16.141,16.141,../../packages/features/ee/organizations/pages/settings/profile.tsx:63:7
useMemo,16.122,48.357,../../packages/platform/atoms/event-types/hooks/useTabsNavigations.tsx:72:33
getBusyCalendarTimes,16.097,16.097,../../packages/trpc/server/routers/viewer/availability/calendarOverlay.handler.ts:78:34
classNames,16.050,16.177,../../packages/features/ee/managed-event-types/hooks/useLockedFieldsManager.tsx:57:9
forwardRef,16.016,16.566,../../packages/ui/components/form/slider/index.tsx:8:15
getOrderedListOfLuckyUsers,16.011,16.011,../../packages/trpc/server/routers/viewer/routing-forms/findTeamMembersMatchingAttributeLogicOfRoute.handler.ts:272:12
findUnique,15.939,21.890,../../packages/features/ee/managed-event-types/lib/handleChildrenEventTypes.ts:232:17
router,15.916,21.653,../../packages/trpc/server/routers/viewer/auth/_router.tsx:23:34
map,15.911,15.911,../../packages/features/form-builder/Components.tsx:435:11
create,15.849,17.405,playwright/fixtures/users.ts:103:10
extend,15.816,15.816,../../packages/prisma/zod/profile.ts:27:71
extend,15.810,15.810,../../packages/prisma/zod/verificationtoken.ts:27:91
map,15.753,33.490,test/utils/bookingScenario/bookingScenario.ts:574:19
extend,15.721,15.721,../../packages/prisma/zod/payment.ts:37:71
Identifier: any,15.715,15.715,../../packages/ui/components/form/select/components.tsx:67:11
findMany,15.663,15.953,../../packages/lib/server/repository/profile.ts:418:27
split,15.659,15.659,../../packages/platform/atoms/event-types/hooks/useEventTypeForm.ts:180:25
trim,15.635,15.635,../../packages/features/form-builder/FormBuilderField.tsx:74:19
