Function Name,Total Self (ms),Avg Self (ms),Call Count,Top Location,Top Self (ms)
sql,1.553,0.388,4,../server/model/website/index.ts:344:9,0.812
castToDate,1.550,0.775,2,../server/model/website/insights.ts:189:13,1.454
useRequest,1.539,0.769,2,routes/register.tsx:22:52,1.382
emitWithAck,1.521,1.521,1,api/socketio.ts:75:19,1.521
toPairs,1.489,1.489,1,components/WebhookPlayground.tsx:174:14,1.489
createWithEqualityFn,1.273,1.273,1,store/user.ts:16:28,1.273
getWorkspaceWebsitePageview,1.270,1.270,1,../server/trpc/routers/website.ts:363:56,1.270
changeUserPassword,1.167,1.167,1,../server/trpc/routers/user.ts:139:13,1.167
reverse,1.148,0.574,2,components/insights/TableView.tsx:42:8,0.967
createClient,1.147,0.287,4,api/trpc.ts:32:13,0.577
search,1.143,1.143,1,hooks/useFuseSearch.ts:18:19,1.143
flatMap,1.138,0.569,2,components/survey/SurveyListTable.tsx:38:12,0.878
getState,1.114,0.223,5,store/user.ts:16:13,0.667
useSocketSubscribe,1.042,1.042,1,components/website/WebsiteLighthouseBtn.tsx:57:8,1.042
Identifier: { user: { id: string; use,1.026,0.205,5,../server/model/auth.ts:223:15,0.463
Identifier: { _config: RootConfig<{ c,1.008,0.504,2,../server/trpc/trpc.ts:33:22,0.677
getRequestInfo,0.992,0.331,3,../server/utils/detect.ts:56:28,0.852
keys,0.966,0.161,6,../server/utils/common.ts:79:9,0.430
default,0.961,0.961,1,components/monitor/StatusPage/schema.ts:16:13,0.961
loadable,0.955,0.478,2,components/MarkdownEditor/index.tsx:5:30,0.861
Identifier: { isProd: boolean; isDev:,0.875,0.292,3,../server/model/_client.ts:10:12,0.690
Identifier: { email: string | null; c,0.865,0.433,2,../server/model/user.ts:95:9,0.748
mapValues,0.859,0.429,2,components/insights/TableView.tsx:66:10,0.589
Identifier: FC<DialogProps>,0.844,0.844,1,components/ui/command.tsx:27:11,0.844
nullable,0.786,0.131,6,../server/trpc/routers/workspace.ts:428:25,0.193
Identifier: MutableRefObject<PickFunc,0.776,0.388,2,hooks/useEvent.ts:34:9,0.581
Identifier: number,0.764,0.764,1,components/DataTable.tsx:167:25,0.764
handleJump,0.759,0.759,1,components/CommandPanel/index.tsx:282:23,0.759
millify,0.742,0.371,2,utils/common.ts:20:9,0.653
"Identifier: Request<ParamsDictionary,",0.739,0.370,2,../server/model/telemetry.ts:16:14,0.399
confirm,0.727,0.727,1,components/monitor/useMonitorAction.ts:78:12,0.727
normalizeFilters,0.723,0.723,1,../server/utils/prisma.ts:74:10,0.723
takeRight,0.716,0.239,3,components/monitor/StatusPage/StatusHeader.tsx:83:35,0.373
FirstBinaryOperator: any,0.712,0.356,2,routes/website/add.tsx:91:23,0.475
copyData,0.690,0.690,1,../server/utils/sandbox.ts:82:29,0.690
Identifier: FC<FeedChannelEditFormPro,0.647,0.647,1,routes/feed/add.tsx:48:9,0.647
useAIStoreContext,0.610,0.203,3,routes/survey/$surveyId/index.tsx:58:21,0.307
useCallback,0.587,0.294,2,components/VirtualizedInfiniteDataTable.tsx:52:48,0.482
clsx,0.572,0.572,1,components/monitor/MonitorHealthBar.tsx:152:28,0.572
useRef,0.548,0.183,3,hooks/useDataReady.ts:12:8,0.283
Identifier: JWT,0.546,0.546,1,../server/model/auth.ts:106:13,0.546
resetQueries,0.544,0.272,2,components/website/WebsiteInfo.tsx:37:23,0.404
Identifier: Date | null,0.537,0.179,3,../server/utils/common.ts:196:32,0.264
Identifier: { email: string | null; c,0.536,0.536,1,../server/model/user.ts:218:9,0.536
cva,0.519,0.259,2,components/ui/avatar.tsx:7:23,0.420
useEffect,0.511,0.170,3,hooks/useTheme.ts:100:4,0.251
"Identifier: ""submit""",0.504,0.252,2,routes/telemetry/add.tsx:93:24,0.308
Identifier: GetWebsiteEventAggregateT,0.500,0.167,3,../server/model/workspace.ts:71:9,0.187
useSocketSubscribeList,0.481,0.240,2,routes/feed/$channelId/index.tsx:85:25,0.428
createContext,0.444,0.222,2,components/ui/chart.tsx:28:6,0.250
useGlobalConfig,0.438,0.438,1,components/website/WebsiteVisitorMap/VisitorLarkMap.tsx:34:8,0.438
createEvent,0.438,0.109,4,../server/trpc/routers/monitor.ts:299:31,0.129
findIndex,0.433,0.433,1,components/Sortable/SortableContext.tsx:13:31,0.433
_get,0.415,0.415,1,components/ai/store.ts:54:33,0.415
useCommandState,0.409,0.409,1,components/CommandPanel/index.tsx:225:15,0.409
some,0.400,0.400,1,routes/switchWorkspace.tsx:31:37,0.400
fetch,0.400,0.133,3,components/monitor/StatusPage/StatusHeader.tsx:77:35,0.260
join,0.390,0.097,4,../server/model/website/insights.ts:58:130,0.240
dayjs,0.385,0.064,6,components/monitor/StatusPage/StatusHeader.tsx:93:25,0.119
"Identifier: ""/api/auth""",0.376,0.376,1,api/authjs/lib.tsx:107:20,0.376
isEmpty,0.361,0.361,1,routes/monitor/add.tsx:30:12,0.361
