Function Name,Self (ms),Duration (ms),Location
memo,0.266,0.742,components/website/WebsiteList.tsx:29:8
anonymous,0.266,0.266,routes/feed.tsx:20:47
lazy,0.266,22.374,../server/prisma/zod/telemetrysession.ts:33:97
t,0.265,0.265,components/website/WebsiteList.tsx:120:17
object,0.264,29.464,../server/utils/schema.ts:25:45
Identifier: Date | null,0.264,10.805,../server/utils/common.ts:196:32
mutation,0.263,5.959,../server/trpc/routers/workspace.ts:177:12
map,0.262,1.036,components/CommandPanel/index.tsx:278:23
set,0.262,1.448,store/insights.ts:35:27
Identifier: { user: { id: string; use,0.261,4.326,../server/model/auth.ts:244:35
groupBy,0.261,8.495,../server/trpc/routers/website.ts:121:16
mutation,0.260,2.668,../server/trpc/routers/workspace.ts:260:19
t,0.260,0.260,routes/feed/$channelId/edit.tsx:94:11
memo,0.260,0.277,components/insights/TableView.tsx:19:8
memo,0.260,1.969,components/monitor/MonitorHealthBar.tsx:92:10
fetch,0.260,0.359,components/monitor/StatusPage/StatusHeader.tsx:77:35
flatMap,0.259,1.138,components/survey/SurveyListTable.tsx:38:12
lazy,0.259,14.162,../server/prisma/zod/workspacesonusers.ts:23:99
mutation,0.258,2.931,../server/trpc/routers/feed/index.ts:348:12
t,0.258,0.808,routes/website/add.tsx:110:17
mutation,0.257,7.031,../server/trpc/routers/workspace.ts:102:15
useEvent,0.257,8.300,components/survey/SurveyDownloadBtn.tsx:52:24
object,0.256,2.414,../server/trpc/routers/feed/index.ts:79:13
t,0.256,0.840,routes/settings/billing.tsx:90:15
meta,0.256,4.832,../server/trpc/routers/survey.ts:280:10
create,0.256,2.194,../server/model/user.ts:170:18
query,0.255,8.327,../server/trpc/routers/survey.ts:42:18
middleware,0.255,0.255,../server/trpc/trpc.ts:98:18
useAIStoreContext,0.255,0.610,routes/survey/$surveyId/index.tsx:57:54
findUnique,0.253,1.114,../server/trpc/routers/website.ts:154:55
anonymous,0.253,10.453,store/insights.ts:20:13
mutation,0.252,4.751,../server/trpc/routers/feed/index.ts:292:12
query,0.252,8.963,../server/trpc/routers/survey.ts:39:12
navigate,0.252,2.080,routes/feed/$channelId/index.tsx:130:39
navigate,0.251,3.865,routes/telemetry.tsx:51:18
useEffect,0.251,0.323,hooks/useTheme.ts:100:4
lazy,0.251,13.631,../server/prisma/zod/monitor.ts:9:46
filter,0.250,0.483,components/ui/chart.tsx:74:53
entries,0.250,0.733,components/ui/chart.tsx:74:22
lazy,0.250,14.125,../server/prisma/zod/notification.ts:9:46
findFirst,0.250,2.465,../server/model/workspace.ts:6:8
createContext,0.250,0.444,components/ui/chart.tsx:28:6
query,0.249,7.141,../server/trpc/routers/user.ts:150:12
router,0.249,233.261,../server/trpc/routers/index.ts:18:6
lazy,0.249,23.365,../server/prisma/zod/surveyresult.ts:44:89
query,0.249,3.670,../server/trpc/routers/workspace.ts:226:19
display,0.247,0.906,components/server/ServerRowExpendView.tsx:39:30
