Function Name,Total Self (ms),Avg Self (ms),Call Count,Top Location,Top Self (ms)
parse,0.673,0.673,1,src/app/api/og-image-poll/route.tsx:31:8,0.673
setError,0.666,0.333,2,src/app/[locale]/(admin)/settings/profile/profile-email-address.tsx:95:58,0.503
filter,0.630,0.630,1,src/next-auth.ts:28:6,0.630
"Identifier: ({ children, size, varian",0.629,0.210,3,src/components/user-dropdown.tsx:121:13,0.286
normalizeVotes,0.620,0.620,1,src/components/poll/voting-form.tsx:154:20,0.620
Identifier: ForwardRefExoticComponent,0.616,0.308,2,src/components/user-dropdown.tsx:138:31,0.602
getByRole,0.602,0.301,2,tests/poll-page.ts:15:30,0.404
"Identifier: ({ href, children, }: { h",0.593,0.593,1,src/app/[locale]/(admin)/settings/settings-menu.tsx:11:11,0.593
url,0.583,0.583,1,src/env.ts:4:13,0.583
set,0.574,0.287,2,src/next-auth.config.ts:44:64,0.506
"Identifier: ({ children, annual, larg",0.544,0.544,1,src/components/pay-wall-dialog.tsx:140:15,0.544
Identifier: ForwardRefExoticComponent,0.531,0.531,1,src/app/[locale]/(admin)/polls/user-polls.tsx:84:7,0.531
Identifier: (props: Omit<DetailedHTML,0.527,0.264,2,../../packages/emails/src/templates/register.tsx:43:9,0.516
Identifier: ({ email }: { email: stri,0.523,0.523,1,src/app/[locale]/(auth)/login/verify/page.tsx:45:9,0.523
Identifier: i18n,0.510,0.510,1,../../packages/emails/src/templates/new-participant.tsx:37:15,0.510
onCancel,0.483,0.242,2,src/components/modal/modal.tsx:35:11,0.327
absoluteUrl,0.473,0.095,5,src/utils/session/session-config.ts:7:12,0.157
Identifier: (e: MouseEvent<HTMLElemen,0.469,0.469,1,src/components/forms/poll-options-form/week-calendar.tsx:101:19,0.469
onOpenChange,0.468,0.468,1,src/components/participant-dropdown.tsx:241:7,0.468
cookies,0.457,0.457,1,src/app/[locale]/(auth)/register/actions.ts:5:48,0.457
Identifier: { opacity: number; y: num,0.456,0.228,2,src/components/poll/mobile-poll.tsx:189:23,0.396
Identifier: FunctionComponent<{ type?,0.437,0.219,2,src/components/poll/mobile-poll/poll-option.tsx:160:19,0.430
Identifier: { hidden: { opacity: numb,0.432,0.432,1,src/components/poll/mobile-poll.tsx:188:17,0.432
Identifier: FormState<{ email: string,0.431,0.072,6,src/components/new-participant-modal.tsx:165:20,0.247
getDerivedEncryptionKey,0.387,0.387,1,src/auth/legacy/helpers/jwt.ts:8:8,0.387
